BlockID StartX[Km] EndX[Km]
@52-blockSets78@ 59.675 59.8785
@53-blockSets78@ 59.8785 59.908
@54-blockSets78@ 59.908 59.923
@55-blockSets78@ 59.923 59.943
@56-blockSets78@ 59.943 59.964
@57-blockSets78@ 59.964 59.985
@58-blockSets78@ 59.985 60.007
@59-blockSets78@ 60.007 60.029
@0-blockSets79@ 45.982 46.0195
@1-blockSets79@ 46.0195 46.412
@2-blockSets79@ 46.412 46.842
@3-blockSets79@ 46.842 47.227
@0-blockSets80@ 46.047 46.117
@1-blockSets80@ 46.117 46.179
@2-blockSets80@ 46.179 46.612
@3-blockSets80@ 46.612 46.688
@0-blockSets81@ 46.057 46.487
@1-blockSets81@ 46.487 46.726
@0-blockSets82@ 46.502 46.559
@1-blockSets82@ 46.559 46.6395
@2-blockSets82@ 46.6395 46.932
@3-blockSets82@ 46.932 47.362
@4-blockSets82@ 47.362 47.792
@5-blockSets82@ 47.792 48.222
@6-blockSets82@ 48.222 48.652
@7-blockSets82@ 48.652 49.082
@8-blockSets82@ 49.082 49.156
@9-blockSets82@ 49.156 49.238
@0-blockSets83@ 46.96 47.295
@0-blockSets84@ 48.972 49.402
@1-blockSets84@ 49.402 49.832
@2-blockSets84@ 49.832 50.262
@3-blockSets84@ 50.262 50.692
@4-blockSets84@ 50.692 51.122
@5-blockSets84@ 51.122 51.552
@6-blockSets84@ 51.552 51.982
@7-blockSets84@ 51.982 52.396
@0-blockSets85@ 49.052 49.482
@1-blockSets85@ 49.482 49.912
@2-blockSets85@ 49.912 50.342
@3-blockSets85@ 50.342 50.515
@4-blockSets85@ 50.515 51.062
@0-blockSets86@ 49.084 49.514
@1-blockSets86@ 49.514 49.944
@2-blockSets86@ 49.944 50.374
@3-blockSets86@ 50.374 50.804
@4-blockSets86@ 50.804 51.064
@0-blockSets87@ 49.101 49.167
@1-blockSets87@ 49.167 49.233
@0-blockSets88@ 51.572 52.002
@1-blockSets88@ 52.002 52.432
@2-blockSets88@ 52.432 52.862
@3-blockSets88@ 52.862 53.292
@4-blockSets88@ 53.292 53.722
@5-blockSets88@ 53.722 54.152
@6-blockSets88@ 54.152 54.582
@7-blockSets88@ 54.582 55.012
@8-blockSets88@ 55.012 55.2235
@9-blockSets88@ 55.2235 55.3335
@10-blockSets88@ 55.3335 55.442
@11-blockSets88@ 55.442 55.871
@12-blockSets88@ 55.871 56.302
@13-blockSets88@ 56.302 56.455
@14-blockSets88@ 56.455 56.488
@15-blockSets88@ 56.488 56.538
@16-blockSets88@ 56.538 56.732
@17-blockSets88@ 56.732 57.162
@18-blockSets88@ 57.162 57.592
@19-blockSets88@ 57.592 58.022
@20-blockSets88@ 58.022 58.452
@21-blockSets88@ 58.452 58.75
@22-blockSets88@ 58.75 58.8205
@23-blockSets88@ 58.8205 58.843
@24-blockSets88@ 58.843 58.864
@25-blockSets88@ 58.864 58.882
@26-blockSets88@ 58.882 58.9145
@27-blockSets88@ 58.9145 58.939
@28-blockSets88@ 58.939 58.963
@29-blockSets88@ 58.963 58.9915
@30-blockSets88@ 58.9915 59.016
@31-blockSets88@ 59.016 59.0525
@32-blockSets88@ 59.0525 59.089
@33-blockSets88@ 59.089 59.1145
@34-blockSets88@ 59.1145 59.1805
@35-blockSets88@ 59.1805 59.312
@36-blockSets88@ 59.312 59.4905
@37-blockSets88@ 59.4905 59.742
@38-blockSets88@ 59.742 59.864
@39-blockSets88@ 59.864 59.8885
@40-blockSets88@ 59.8885 59.918
@41-blockSets88@ 59.918 59.943
@42-blockSets88@ 59.943 59.968
@43-blockSets88@ 59.968 59.996
@44-blockSets88@ 59.996 60.019
@0-blockSets89@ 55.031 55.064
@1-blockSets89@ 55.064 55.154
@2-blockSets89@ 55.154 55.231
@3-blockSets89@ 55.231 55.461
@4-blockSets89@ 55.461 55.891
@5-blockSets89@ 55.891 55.914
@6-blockSets89@ 55.914 56.321
@7-blockSets89@ 56.321 56.751
@8-blockSets89@ 56.751 57.181
@9-blockSets89@ 57.181 57.611
@10-blockSets89@ 57.611 58.041
@11-blockSets89@ 58.041 58.108
@12-blockSets89@ 58.108 58.169
@13-blockSets89@ 58.169 58.471
@14-blockSets89@ 58.471 58.719
@15-blockSets89@ 58.719 58.755
@16-blockSets89@ 58.755 58.7765
@17-blockSets89@ 58.7765 58.8105
@18-blockSets89@ 58.8105 58.843
@19-blockSets89@ 58.843 58.859
@20-blockSets89@ 58.859 58.875
@0-blockSets90@ 55.042 55.0695
@1-blockSets90@ 55.0695 55.082
@2-blockSets90@ 55.082 55.087
@0-blockSets91@ 55.087 55.1835
@1-blockSets91@ 55.1835 55.517
